Category: All categories

Region,Inflation: (2014)
District of Columbia,100
Vermont,98
Maine,97
Idaho,96
New Hampshire,93
Delaware,93
North Dakota,92
Connecticut,91
Massachusetts,91
Rhode Island,89
Iowa,88
Utah,88
Indiana,88
Ohio,86
Michigan,86
Washington,86
New York,85
Wyoming,83
Montana,82
New Jersey,82
South Dakota,82
New Mexico,81
Pennsylvania,80
Virginia,78
Nebraska,77
Wisconsin,77
Maryland,77
Illinois,77
Arkansas,76
North Carolina,76
Alaska,76
Texas,75
Alabama,75
Minnesota,73
California,72
Missouri,70
Florida,70
Kansas,68
Colorado,67
West Virginia,66
Tennessee,66
Georgia,66
Hawaii,66
Oklahoma,65
South Carolina,64
Arizona,63
Oregon,61
Kentucky,61
Nevada,58
Mississippi,58
Louisiana,58
