Date,Steps,Distance,Floors Ascended
9/20/2023,942,0.5,1
9/19/2023,8643,4.6,11
9/18/2023,6745,3.4,11
9/17/2023,708,0.4,1
9/16/2023,814,0.4,1
9/15/2023,1486,0.8,3
9/14/2023,7897,4.3,11
9/13/2023,1283,0.7,1
9/12/2023,10223,5,14
9/11/2023,6722,3.4,11
9/10/2023,577,0.3,0
9/9/2023,817,0.4,1
9/8/2023,948,0.5,1
9/7/2023,954,0.5,1
9/6/2023,270,0.1,0
9/5/2023,6446,3.1,12
9/4/2023,733,0.4,1
9/3/2023,2710,1.4,0
9/2/2023,748,0.4,1
9/1/2023,2269,1.2,1
8/31/2023,10185,5.5,11
8/30/2023,1231,0.6,1
8/29/2023,5116,2.5,6
8/28/2023,10160,5,10
8/27/2023,2316,1.2,1
8/26/2023,3247,1.7,2
8/25/2023,1161,0.6,1
8/24/2023,7123,3.9,14
8/23/2023,1525,0.8,1
8/22/2023,8081,3.9,12
8/21/2023,8676,4.2,13
8/20/2023,7206,3.5,1
8/19/2023,1014,0.5,1
8/18/2023,2100,1.1,1
8/17/2023,7616,4.1,11
8/16/2023,1292,0.7,1
8/15/2023,8770,4.3,13
8/14/2023,6208,3.1,11
8/13/2023,2277,1.1,1
8/12/2023,1039,0.5,1
8/11/2023,859,0.4,1
8/10/2023,2938,1.6,3
8/9/2023,649,0.3,1
8/8/2023,9565,4.7,12
8/7/2023,7625,3.8,13
8/6/2023,3074,1.5,1
8/5/2023,1069,0.5,1
8/4/2023,2396,1.2,2
8/3/2023,3423,1.7,4
8/2/2023,6537,3.5,13
8/1/2023,1079,0.5,1
7/31/2023,5407,3,10
7/30/2023,7751,3.8,1
7/29/2023,12633,6.2,14
7/28/2023,7082,3.4,6
7/27/2023,3009,1.4,2
7/26/2023,6244,3,3
7/25/2023,7391,3.9,11
7/24/2023,7738,3.9,10
7/23/2023,9911,4.8,3
7/22/2023,970,0.5,0
7/21/2023,5488,2.7,3
7/20/2023,5230,2.6,7
7/19/2023,856,0.4,1
7/18/2023,6645,3.5,10
7/17/2023,5992,3.3,11
7/16/2023,2130,1,2
7/15/2023,976,0.5,1
7/14/2023,973,0.5,1
7/13/2023,5560,2.8,12
7/12/2023,811,0.4,1
7/11/2023,6240,3.3,13
7/10/2023,5840,3.1,11
7/9/2023,3340,1.7,1
7/8/2023,1603,0.8,3
7/7/2023,509,0.3,0
7/6/2023,6065,2.9,9
7/5/2023,6455,3.4,10
7/4/2023,1051,0.5,1
7/3/2023,461,0.2,0
7/2/2023,4738,2.4,3
7/1/2023,800,0.4,1
6/30/2023,294,0.2,0
6/29/2023,6435,3.3,12
6/28/2023,950,0.5,1
6/27/2023,6754,3.3,8
6/26/2023,8259,4.2,10
6/25/2023,2632,1.3,1
6/24/2023,807,0.4,1
6/23/2023,2179,1.1,1
6/22/2023,7716,3.8,12
6/21/2023,2875,1.4,2
6/20/2023,3330,1.7,6
6/19/2023,2715,1.3,1
6/18/2023,2514,1.3,2
6/17/2023,1654,0.8,4
6/16/2023,644,0.3,2
6/15/2023,4576,2.2,5
