Category: All categories

Region,Inflation: (2017)
Vermont,100
Indiana,94
Michigan,94
New Hampshire,94
Massachusetts,93
Rhode Island,92
Minnesota,91
Delaware,91
North Dakota,90
Maryland,90
Wisconsin,88
Virginia,88
New York,87
Idaho,85
Maine,83
Pennsylvania,82
New Jersey,81
Iowa,81
Nebraska,80
District of Columbia,80
Wyoming,79
Arizona,78
Connecticut,78
Ohio,78
Illinois,77
North Carolina,77
Washington,76
Missouri,76
California,76
South Dakota,76
Alaska,75
Kansas,75
Colorado,74
West Virginia,74
Georgia,73
Utah,73
Arkansas,72
Florida,72
Montana,72
Texas,71
Oregon,68
Oklahoma,64
New Mexico,63
Hawaii,63
South Carolina,63
Kentucky,62
Tennessee,61
Alabama,61
Mississippi,55
Louisiana,53
Nevada,53
