Category: All categories

Region,Inflation: (2012)
Vermont,100
Idaho,83
New Hampshire,83
Delaware,83
South Dakota,81
Wyoming,77
Rhode Island,77
Virginia,75
Iowa,74
Indiana,73
Connecticut,73
Utah,72
District of Columbia,71
Ohio,71
Pennsylvania,71
Montana,71
Maine,70
Massachusetts,69
New York,68
Oregon,68
North Dakota,67
New Mexico,66
Alaska,66
Kansas,65
Wisconsin,64
Nebraska,64
New Jersey,62
Oklahoma,62
Hawaii,62
Maryland,62
South Carolina,61
Michigan,60
Arkansas,60
Minnesota,60
Missouri,59
Arizona,58
Illinois,58
Alabama,58
North Carolina,58
West Virginia,58
California,58
Washington,57
Tennessee,56
Colorado,56
Florida,54
Texas,53
Kentucky,52
Georgia,51
Nevada,51
Mississippi,46
Louisiana,46
