Category: All categories

Region,Inflation: (2015)
New Hampshire,100
Massachusetts,95
Vermont,87
Connecticut,86
Rhode Island,86
Maine,85
Indiana,84
Delaware,83
Idaho,83
Ohio,82
Wyoming,82
Iowa,81
New York,81
Michigan,81
Pennsylvania,81
Alaska,80
Kansas,80
New Jersey,80
Wisconsin,77
South Dakota,77
Utah,75
Minnesota,75
Montana,75
Arkansas,74
North Dakota,74
West Virginia,72
District of Columbia,72
Washington,72
Maryland,70
Nebraska,70
Virginia,70
California,69
Alabama,68
Colorado,68
Illinois,67
North Carolina,66
Texas,66
Missouri,65
Arizona,64
Georgia,64
Oklahoma,63
New Mexico,63
Florida,63
Hawaii,61
Louisiana,59
Mississippi,59
Kentucky,58
Oregon,58
Tennessee,56
South Carolina,53
Nevada,50
