Category: All categories

Region,Inflation: (2020)
District of Columbia,100
New Hampshire,76
Virginia,76
Vermont,75
North Dakota,75
Massachusetts,75
Connecticut,73
Washington,72
Missouri,72
Indiana,71
New Jersey,70
Rhode Island,70
Minnesota,70
California,70
Alaska,69
Wyoming,69
Wisconsin,68
Maine,68
Idaho,67
Arizona,67
Colorado,67
South Dakota,67
Pennsylvania,67
Michigan,67
Nebraska,66
Oregon,66
Maryland,65
Florida,65
New York,65
Ohio,64
Kansas,63
Utah,62
Montana,62
Texas,62
Hawaii,62
Illinois,62
West Virginia,61
Iowa,60
Georgia,60
Delaware,59
North Carolina,59
Tennessee,56
Arkansas,55
South Carolina,52
Oklahoma,52
New Mexico,51
Kentucky,50
Alabama,50
Nevada,47
Mississippi,46
Louisiana,42
