Year (N);ISO;Rank N;Score N;Score N without the exactions;Score N with the exactions;Score exactions;Rank N-1;Score N-1;Rank evolution;FR_country;EN_country;ES_country;AR_country;FA_country;Zone
2015;MWI;59;73,59;73,59;;100;73;71,71;14;Malawi;Malawi;Malaui;مالاوي;مالاوی;Afrique
2015;KOR;60;73,45;73,45;;83,91;57;74,34;-3;Corée du Sud;South Korea;Corea del Sur;كوريا الجنوبية;کره جنوبی;Asie-Pacifique
2015;JPN;61;73,05;73,05;;100;59;73,98;-2;Japon;Japan;Japón;اليابان;ژاپن;Asie-Pacifique
2015;GUY;62;72,79;72,79;;100;67;72,92;5;Guyana;Guyana;Guyana;غويانا;گیانا;Amériques
2015;DOM;63;72,69;72,95;;71,67;68;72,83;5;République dominicaine;Dominican Republic;República Dominicana;جمهورية الدومينيكان;جمهوری دومینیک;Amériques
2015;MDG;64;72,57;72,57;;86,14;81;70,62;17;Madagascar;Madagascar;Madagascar;مدغشقر;ماداگاسکار;Afrique
2015;HUN;65;72,56;72,56;;86,14;64;73,27;-1;Hongrie;Hungary;Hungría;المجر;مجارستان;UE Balkans
2015;BIH;66;72,49;73,34;;69,09;66;73,14;0;Bosnie-Herzégovine;Bosnia and Herzegovina;Bosnia-Herzegovina;البوسنة والهرسك;بوسنی هرزوگوین;UE Balkans
2015;SRB;67;72,34;74,38;;64,16;54;74,95;-13;Serbie;Serbia;Serbia;صربيا;صربستان;UE Balkans
2015;MUS;68;72,31;72,31;;100;70;72,31;2;Maurice;Mauritius;Mauricio;موريشيوس;موریس;Afrique
2015;GEO;69;72,3;72,3;;76,02;84;70,22;15;Géorgie;Georgia;Georgia;جورجيا;گرجستان;EEAC
2015;HKG;70;72,24;72,24;;78,03;61;73,45;-9;Hong-Kong;Hong Kong;Hong Kong;هونغ كونغ;هنگ کنگ;Asie-Pacifique
2015;SEN;71;72,23;72,23;;86,14;62;73,32;-9;Sénégal;Senegal;Senegal;السنغال;سنگال;Afrique
2015;MDA;72;72,15;73,77;;65,66;56;74,65;-16;Moldavie;Moldova;Moldavia;مولدوفا;مولداوی;EEAC
2015;ITA;73;72,06;75,91;;56,69;49;76,25;-24;Italie;Italy;Italia;إيطاليا;ایتالیا;UE Balkans
2015;NIC;74;72,06;72,3;;71,1;71;72,3;-3;Nicaragua;Nicaragua;Nicaragua;نيكاراغوا;نیکاراگوئه;Amériques
2015;TZA;75;71,91;71,91;;89,01;69;72,7;-6;Tanzanie;Tanzania;Tanzania;تنزانيا;تانزانیا;Afrique
2015;CTU;76;71,67;71,67;;100;83;70,46;7;Chypre (partie Nord);Cyprus North;Chipre Norte;قبرص (الجزء الشمالي);قبرس (شمالی);UE Balkans
2015;LSO;77;71,64;71,64;;100;74;71,64;-3;Lesotho;Lesotho;Lesoto;ليسوتو;لسو‌تو;Afrique
2015;ARM;78;71,57;71,57;;79,21;78;70,93;0;Arménie;Armenia;Armenia;أرمينيا;ارمنستان;EEAC
2015;SLE;79;71,53;71,77;;70,56;72;71,77;-7;Sierra Leone;Sierra Leone;Sierra Leona;سيراليون;سئیرالئون;Afrique
2015;TGO;80;71,5;71,5;;82,08;76;71;-4;Togo;Togo;Togo;توغو;توگو;Afrique
2015;GNB;81;71,3;71,3;;100;86;69,95;5;Guinée-Bissau;Guinea-Bissau;Guinea-Bisáu;غينيا بيساو;گینه بیسائو;Afrique
2015;ALB;82;71,23;71,23;;78,03;85;70,08;3;Albanie;Albania;Albania;ألبانيا;آلبانی;UE Balkans
2015;PAN;83;71,02;71,02;;100;87;69,8;4;Panama;Panama;Panamá;بنما;پاناما;Amériques
2015;BEN;84;70,76;70,76;;93,07;75;71,17;-9;Bénin;Benin;Benín;بنين;بنین;Afrique
2015;MOZ;85;70,02;70,02;;80,54;79;70,74;-6;Mozambique;Mozambique;Mozambique;موزمبيق;موزامبیک;Afrique
2015;CIV;86;69,55;69,55;;76,02;101;68,37;15;Côte d'Ivoire;Ivory Coast;Costa de Marfil;ساحل العاج;ساحل عاج;Afrique
2015;XKO;87;69,37;69,37;;78,03;80;70,71;-7;Kosovo;Kosovo;Kosovo;كوسوفو;کوسووو;UE Balkans
2015;KGZ;88;69,31;69,31;;80,54;97;68,76;9;Kirghizstan;Kyrgyzstan;Kirguistán;قرغيزستان;قرقیزستان;EEAC
2015;LBR;89;69,22;69,22;;79,21;89;69,35;0;Liberia;Liberia;Liberia;ليبيريا;لیبریا;Afrique
2015;KWT;90;69,16;69,29;;68,65;91;69,29;1;Koweït;Kuwait;Kuwait;الكويت;کویت;MENA
2015;GRC;91;68,99;68,99;;86,14;99;68,67;8;Grèce;Greece;Grecia;اليونان;یونان;UE Balkans
2015;PER;92;68,79;70,33;;62,62;104;68,3;12;Pérou;Peru;Peru;بيرو;پرو;Amériques
2015;FJI;93;68,72;68,72;;93,07;107;67,43;14;Fidji;Fiji;Fiyi;فيجي;فیجی;Asie-Pacifique
2015;BOL;94;68,71;69,78;;64,45;94;68,96;0;Bolivie;Bolivia;Bolivia;بوليفيا;بلیوی;Amériques
2015;GAB;95;68,62;68,62;;73,61;98;68,68;3;Gabon;Gabon;República Gabonesa;الغابون;گابون;Afrique
2015;SYC;96;68,45;68,45;;100;103;68,32;7;Seychelles;Seychelles;Seychelles;سيشيل;سی‌شل;Afrique
2015;UGA;97;68,35;69,84;;62,39;110;66,71;13;Ouganda;Uganda;Uganda;أوغندا;اوگاندا;Afrique
2015;LBN;98;68,19;68,19;;76,02;106;68,11;8;Liban;Lebanon;Líbano;لبنان;لبنان;MENA
2015;BRA;99;68,07;74,23;;43,44;111;65,97;12;Brésil;Brazil;Brasil;البرازيل;برزیل;Amériques
2015;KEN;100;67,93;68,58;;65,34;90;69,3;-10;Kenya;Kenya;Kenia;كينيا;کنیا;Afrique
2015;ISR;101;67,91;73,53;;45,45;96;68,81;-5;Israël;Israel;Israel;إسرائيل;اسرائیل;MENA
2015;GIN;102;67,44;73,35;;43,8;102;68,33;0;Guinée;Guinea;Guinea;غينيا;گینه;Afrique
2015;TLS;103;67,37;67,37;;100;77;70,96;-26;Timor oriental;East Timor;Timor Oriental;تيمور الشرقية;تیمور شرقی;Asie-Pacifique
2015;BTN;104;67,35;67,35;;100;92;69,27;-12;Bhoutan;Bhutan;Bután;بوتان;بوتان;Asie-Pacifique
2015;NPL;105;67,29;69,73;;57,52;120;63,84;15;Népal;Nepal;Nepal;نيبال;نپال;Asie-Pacifique
2015;BGR;106;67,09;67,09;;79,21;100;68,58;-6;Bulgarie;Bulgaria;Bulgaria;بلغاريا;بلغارستان;UE Balkans
2015;COG;107;67;67;;83,91;82;70,56;-25;Congo;Congo;República del Congo;الكونغو;کنگو;Afrique
2015;ECU;108;66,35;67,81;;60,49;95;68,84;-13;Équateur;Ecuador;Ecuador;الإكوادور;اکواتور;Amériques
2015;PRY;109;66,26;70,9;;47,69;105;68,19;-4;Paraguay;Paraguay;Paraguay;باراغواي;پاراگوئه;Amériques
2015;CAF;110;66,16;70,93;;47,07;109;66,87;-1;République centrafricaine;Central African Republic;República Centroafricana;جمهورية أفريقيا الوسطى;جمهوری آفریقای مرکزی;Afrique
