Entity,Code,Year,Below $3 a day,$3-$10 a day,$10-$30 a day,Above $30 a day
Kazakhstan,KAZ,2015,18977,6893048,10640355,531788
Kazakhstan,KAZ,2016,31101,8289525,9579627,463347
Kazakhstan,KAZ,2017,21538,7369977,10630098,630319
Kazakhstan,KAZ,2018,11574,6561080,11497404,862670
Kazakhstan,KAZ,2019,15305,6741106,11546045,907100
Kazakhstan,KAZ,2020,7295,6772523,11675957,1026341
Kazakhstan,KAZ,2021,7932,6175153,12357182,1203337
Kenya,KEN,1992,7811408,11911076,3894610,765366
Kenya,KEN,1994,8272960,14609328,2710320,264522
Kenya,KEN,1997,9155021,15407417,3044483,494847
Kenya,KEN,2005,16137598,16801455,2935294,342997
Kenya,KEN,2015,17994903,25213061,4315757,269083
Kenya,KEN,2020,23198970,25914190,3025056,79120
Kenya,KEN,2021,24720223,25374404,2869691,254850
Kenya,KEN,2022,25774407,25878667,3213783,113587
Kiribati,KIR,2006,21285,66908,11037,787
Kiribati,KIR,2019,7637,98258,18253,361
Kosovo,OWID_KOS,2017,272515,777004,669126,72374
Kosovo,OWID_KOS,2018,372180,791003,581848,52055
Kosovo,OWID_KOS,2019,202410,673072,821670,91739
Kosovo,OWID_KOS,2020,300402,531889,759389,198471
Kosovo,OWID_KOS,2021,446177,526187,687162,126553
Kosovo,OWID_KOS,2022,176435,681293,840494,69874
Kyrgyzstan,KGZ,2000,3241382,1612048,44932,0
Kyrgyzstan,KGZ,2001,3041724,1845546,57803,0
Kyrgyzstan,KGZ,2002,2900482,2020993,69229,0
Kyrgyzstan,KGZ,2003,2856415,2136713,50180,0
Kyrgyzstan,KGZ,2004,1661054,2961608,468316,13735
Kyrgyzstan,KGZ,2005,1888139,3015532,252950,6019
Kyrgyzstan,KGZ,2006,1356946,3242845,582922,35660
Kyrgyzstan,KGZ,2007,1229916,3504413,519756,14300
Kyrgyzstan,KGZ,2008,734644,3979630,578363,26092
Kyrgyzstan,KGZ,2009,528984,4199478,639739,21442
Kyrgyzstan,KGZ,2010,688865,4198224,563981,15989
Kyrgyzstan,KGZ,2011,518484,4503522,509805,14776
Kyrgyzstan,KGZ,2012,593799,4584540,462494,11243
Kyrgyzstan,KGZ,2013,778389,4487979,501089,9693
Kyrgyzstan,KGZ,2014,476050,4903704,513773,12321
Kyrgyzstan,KGZ,2015,663791,4854328,496456,25461
Kyrgyzstan,KGZ,2016,492341,5079095,594194,9708
Kyrgyzstan,KGZ,2017,516756,5197406,575129,17405
Kyrgyzstan,KGZ,2018,380748,5316686,724698,21947
Kyrgyzstan,KGZ,2019,324220,5453389,756663,55939
Kyrgyzstan,KGZ,2020,631273,5363048,710820,21455
Kyrgyzstan,KGZ,2021,386990,5525869,904405,33960
Kyrgyzstan,KGZ,2022,317324,5718106,924252,15538
Kyrgyzstan,KGZ,2023,194783,5689330,1184719,30918
Laos,LAO,1992,1932030,2399744,240720,12235
Laos,LAO,1997,3205438,1828463,127263,10098
Laos,LAO,2002,2429512,2978231,215067,9843
Laos,LAO,2007,2185076,3509919,359755,22814
Laos,LAO,2012,1420049,4334057,744972,43002
Laos,LAO,2018,1123223,4791150,1161688,98012
Latin America and Caribbean (WB),WB_LAC,1990,91364000,192352234,121490356,35751554
Latin America and Caribbean (WB),WB_LAC,1991,90120372,198205806,125666880,35135934
Latin America and Caribbean (WB),WB_LAC,1992,92328740,203781291,126862433,34272784
Latin America and Caribbean (WB),WB_LAC,1993,93731106,205534358,126567579,39492685
Latin America and Caribbean (WB),WB_LAC,1994,92130717,207681051,131545882,41970958
Latin America and Caribbean (WB),WB_LAC,1995,89187957,212326045,135587399,44207623
Latin America and Caribbean (WB),WB_LAC,1996,97248609,210665338,136241713,45079412
Latin America and Caribbean (WB),WB_LAC,1997,96593877,210792522,142120413,47590180
Latin America and Caribbean (WB),WB_LAC,1998,96845238,212752439,146010649,49344250
Latin America and Caribbean (WB),WB_LAC,1999,99779863,219558520,145012371,48380222
Latin America and Caribbean (WB),WB_LAC,2000,94168919,219819408,154310999,51972802
Latin America and Caribbean (WB),WB_LAC,2001,94408293,221656723,158767459,52740101
Latin America and Caribbean (WB),WB_LAC,2002,91446047,229972026,161387200,51886311
Latin America and Caribbean (WB),WB_LAC,2003,89774324,232519491,165131439,54218138
Latin America and Caribbean (WB),WB_LAC,2004,83799257,235636798,172804295,56215202
Latin America and Caribbean (WB),WB_LAC,2005,79018035,229698957,184831825,61571951
Latin America and Caribbean (WB),WB_LAC,2006,67451661,226525511,198483911,69290917
Latin America and Caribbean (WB),WB_LAC,2007,61340248,223802772,208684483,74517713
Latin America and Caribbean (WB),WB_LAC,2008,57065117,219459820,219153815,79229984
Latin America and Caribbean (WB),WB_LAC,2009,55267169,223868310,222311885,79940796
Latin America and Caribbean (WB),WB_LAC,2010,49739488,221309374,232343000,84360650
Latin America and Caribbean (WB),WB_LAC,2011,45876502,216161238,241507784,90541324
Latin America and Caribbean (WB),WB_LAC,2012,44255272,212772837,246786668,96605511
Latin America and Caribbean (WB),WB_LAC,2013,40598876,212268123,252635892,101180437
Latin America and Caribbean (WB),WB_LAC,2014,38798184,214112473,258830750,101108001
Latin America and Caribbean (WB),WB_LAC,2015,36407802,207469460,268602689,106388529
Latin America and Caribbean (WB),WB_LAC,2016,37816193,206809425,272363328,107748846
Latin America and Caribbean (WB),WB_LAC,2017,37720628,204970889,278077643,109645816
Latin America and Caribbean (WB),WB_LAC,2018,37504791,204669247,282246112,111357962
Latin America and Caribbean (WB),WB_LAC,2019,38350557,203733366,286218524,112659921
Latin America and Caribbean (WB),WB_LAC,2020,36417739,212373238,293841916,102864771
Latin America and Caribbean (WB),WB_LAC,2021,40588238,212773142,289660695,106212421
Latin America and Caribbean (WB),WB_LAC,2022,32951413,201660170,302713802,115779383
Latin America and Caribbean (WB),WB_LAC,2023,30266454,197899400,308026194,121425616
Latin America and Caribbean (WB),WB_LAC,2024,29622867,191691446,312591304,128280303
Latin America and Caribbean (WB),WB_LAC,2025,29450666,189750486,315248417,132151071
Latvia,LVA,1993,0,1625331,919452,18507
Latvia,LVA,1995,53528,1198965,1166883,65680
Latvia,LVA,1996,92711,1206275,1102285,55951
Latvia,LVA,2004,82702,675172,1323370,181878
Latvia,LVA,2005,69636,606429,1305435,257299
Latvia,LVA,2006,43160,345851,1423882,405464
Latvia,LVA,2007,18309,237904,1265599,678513
Latvia,LVA,2008,34544,255160,1236153,651465
Latvia,LVA,2009,55653,344550,1316206,425260
Latvia,LVA,2010,54459,374807,1313025,355264
Latvia,LVA,2011,34134,360824,1295602,369149
Latvia,LVA,2012,29271,341714,1271882,391452
Latvia,LVA,2013,30975,261823,1234312,485537
Latvia,LVA,2014,22250,210979,1182446,578107
Latvia,LVA,2015,20434,152458,1138331,666304
Latvia,LVA,2016,18836,134155,1084633,721913
Latvia,LVA,2017,19085,135290,977127,810746
Latvia,LVA,2018,10776,101554,922326,892518
Latvia,LVA,2019,6459,87124,880538,939701
Latvia,LVA,2020,9732,73262,802265,1015190
Latvia,LVA,2021,9246,57541,724896,1092807
Latvia,LVA,2022,7971,80680,779227,1011505
Latvia,LVA,2023,8338,67461,741948,1059698
Lebanon,LBN,2011,3181,474164,3385864,1340397
Lebanon,LBN,2022,339956,3203432,2150633,73671
Lesotho,LSO,1986,1059254,509232,102457,15311
Lesotho,LSO,1994,1154587,544744,207196,31859
Lesotho,LSO,2002,1487784,447435,48816,3429
Lesotho,LSO,2017,904486,1023795,219919,12619
Liberia,LBR,2007,2240694,1336500,89485,2371
Liberia,LBR,2014,1448935,2818085,291144,6129
Liberia,LBR,2016,1595931,2809998,339357,10322
Lithuania,LTU,1993,525509,2721267,407849,27988
Lithuania,LTU,2004,134333,981275,1931361,330106
Lithuania,LTU,2005,91260,698843,2109986,422439
Lithuania,LTU,2006,60478,394332,2141035,674064
Lithuania,LTU,2007,51749,313540,1910558,955447
Lithuania,LTU,2008,57922,246425,1836474,1057410
Lithuania,LTU,2009,86114,446499,1871050,759253
Lithuania,LTU,2010,61446,507410,1936054,592372
Lithuania,LTU,2011,26958,385410,1905340,710407
Lithuania,LTU,2012,31390,368255,1789720,799774
Lithuania,LTU,2013,35527,285366,1791618,848739
Lithuania,LTU,2014,50408,311173,1599269,976403
Lithuania,LTU,2015,30442,271252,1468863,1140552
Lithuania,LTU,2016,42560,197322,1422428,1215015
Lithuania,LTU,2017,33179,159346,1304989,1345125
Lithuania,LTU,2018,27662,106744,1182775,1502019
Lithuania,LTU,2019,16962,66248,1062135,1665744
Lithuania,LTU,2020,13288,55183,837183,1904715
Lithuania,LTU,2021,8945,46672,818112,1934651
Lithuania,LTU,2022,22703,70760,920812,1817364
Lithuania,LTU,2023,31528,88839,885071,1866147
Luxembourg,LUX,1985,0,1740,67751,297215
Luxembourg,LUX,1986,0,824,58984,308547
Luxembourg,LUX,1987,0,837,55607,314306
Luxembourg,LUX,1988,0,0,41937,331513
Luxembourg,LUX,1989,0,0,31067,346033
Luxembourg,LUX,1990,0,0,24688,357162
Luxembourg,LUX,1991,0,0,26071,360929
Luxembourg,LUX,1992,0,0,20383,371792
Luxembourg,LUX,1993,0,0,17491,379984
Luxembourg,LUX,1994,0,0,32163,370762
Luxembourg,LUX,1995,0,884,30526,377215
Luxembourg,LUX,1996,0,1000,36239,376986
Luxembourg,LUX,1997,0,583,33958,384909
Luxembourg,LUX,1998,0,0,32700,392000
Luxembourg,LUX,1999,0,0,31953,398522
Luxembourg,LUX,2000,0,0,29127,407173
Luxembourg,LUX,2001,0,0,29462,412063
Luxembourg,LUX,2002,0,1045,16466,428664
Luxembourg,LUX,2003,324,2107,27968,421231
Luxembourg,LUX,2004,83,1162,26090,430760
Luxembourg,LUX,2005,192,782,23138,441046
Luxembourg,LUX,2006,18,616,24352,447651
Luxembourg,LUX,2007,105,79,24338,455471
Luxembourg,LUX,2008,0,1215,28689,458746
Luxembourg,LUX,2009,238,1299,22399,473847
Luxembourg,LUX,2010,166,1337,26292,479158
Luxembourg,LUX,2011,715,490,33217,483925
Luxembourg,LUX,2012,232,1636,41501,487577
Luxembourg,LUX,2013,484,948,37050,504878
Luxembourg,LUX,2014,892,858,29984,524585
Luxembourg,LUX,2015,1765,3132,45090,519617
Luxembourg,LUX,2016,682,4008,33282,544042
Luxembourg,LUX,2017,1736,6767,44056,543777
Luxembourg,LUX,2018,1848,4242,45839,556021
Luxembourg,LUX,2019,627,1827,38364,579183
Luxembourg,LUX,2020,0,336,30134,599949
Luxembourg,LUX,2021,527,3252,27283,609002
Luxembourg,LUX,2022,682,1147,19615,631659
Luxembourg,LUX,2023,567,1346,28432,636085
Madagascar,MDG,1980,5559423,3026658,375551,44400
Madagascar,MDG,1993,11065387,2080051,133935,42923
Madagascar,MDG,1997,12093085,2774778,114350,8601
Madagascar,MDG,1999,12563729,3316876,118767,1134
Madagascar,MDG,2001,9787140,5887755,1270085,87960
Madagascar,MDG,2005,10597647,7706411,771916,83734
Madagascar,MDG,2010,14484568,6904322,734224,60226
Madagascar,MDG,2012,16112754,6982226,813439,26221
Madagascar,MDG,2021,20925218,8660671,656796,8031
Malawi,MWI,1997,6942656,3318799,407003,85175
Malawi,MWI,2004,9358080,2960343,233958,26394
Malawi,MWI,2010,10879923,3610133,373702,63574
Malawi,MWI,2016,12687615,4615095,375181,29261
Malawi,MWI,2019,14471520,4384346,316193,11215
Malaysia,MYS,1984,982360,6570710,5834827,1371112
Malaysia,MYS,1987,953166,7529455,6357856,1436260
Malaysia,MYS,1989,855188,8206096,6813277,1440435
Malaysia,MYS,1992,942482,8176276,7648532,2067282
Malaysia,MYS,1995,1063900,8518929,8389625,2358146
Malaysia,MYS,1997,366371,7694865,9703067,3610915
Malaysia,MYS,2003,783065,8724529,11231562,3940446
Malaysia,MYS,2006,438937,8259503,12831720,4887748
Malaysia,MYS,2008,410799,8462111,13255431,5580397
Malaysia,MYS,2011,107366,6112607,14881932,8060135
Malaysia,MYS,2013,32791,3781906,16230359,10129208
Malaysia,MYS,2015,16589,3090924,16014400,12600945
Malaysia,MYS,2018,9997,2479779,15527567,15137253
Malaysia,MYS,2021,4510,1934683,15595294,16937937
Maldives,MDV,2002,55272,202719,34623,1440
Maldives,MDV,2009,46473,224081,76628,7352
Maldives,MDV,2016,387,88631,305918,48372
Maldives,MDV,2019,0,99456,341714,55193
Mali,MLI,1994,8906410,952817,98804,9000
Mali,MLI,2001,8186597,3507869,238435,9328
Mali,MLI,2006,9025106,4627341,450957,3644
Mali,MLI,2009,10064251,5589602,235261,22
Mali,MLI,2018,6111273,12592699,2006500,88592
Mali,MLI,2021,8223746,12873046,1633740,47984
Malta,MLT,2006,2226,4318,160859,237905
Malta,MLT,2007,2146,6299,140314,257965
Malta,MLT,2008,734,2776,139765,266104
Malta,MLT,2009,1976,4348,149452,256701
Malta,MLT,2010,1072,3005,139379,271052
Malta,MLT,2011,873,2693,136158,276544
Malta,MLT,2012,786,2426,124023,292793
Malta,MLT,2013,126,2253,111808,310623
Malta,MLT,2014,0,1990,100032,331459
Malta,MLT,2015,375,1824,104478,337543
Malta,MLT,2016,516,1331,88510,364148
Malta,MLT,2017,770,1847,90316,374173
Malta,MLT,2018,771,1631,87592,393909
Malta,MLT,2019,1535,3697,72980,425700
Malta,MLT,2020,2030,3963,67421,442076
Malta,MLT,2021,631,2644,55594,459281
Malta,MLT,2022,584,3712,73035,453782
Marshall Islands,MHL,2019,911,20054,19918,2473
Mauritania,MRT,1987,915589,779118,106143,2164
Mauritania,MRT,1993,1177094,862839,114130,20265
Mauritania,MRT,1995,741578,1365162,221097,10497
Mauritania,MRT,2000,811600,1519896,305906,8698
Mauritania,MRT,2004,828041,1774131,275664,29545
Mauritania,MRT,2008,616473,2028267,547349,11416
Mauritania,MRT,2014,450496,2660731,712490,24797
Mauritania,MRT,2019,464788,3193127,863574,25673
Mauritius,MUS,2006,13818,534958,608784,79253
Mauritius,MUS,2012,13485,458815,675543,108039
Mauritius,MUS,2017,6833,356171,768868,133015
Mexico,MEX,1984,10992635,38339587,20251504,3923122
Mexico,MEX,1989,12004015,43124117,21840223,4278829
Mexico,MEX,1992,11462227,42238797,25530120,6813664
Mexico,MEX,1994,12181827,43213021,26314757,7549603
Mexico,MEX,1996,20057037,47409605,20351512,4634550
Mexico,MEX,1998,20923659,45329205,23933438,5388946
Mexico,MEX,2000,16121362,46187951,28803211,7513028
Mexico,MEX,2002,13002918,49736485,31121495,7687726
Mexico,MEX,2004,11533711,50505433,33981553,8373431
Mexico,MEX,2005,12338881,48281576,36521086,8669961
Mexico,MEX,2006,9698953,49433353,38326470,9794888
Mexico,MEX,2008,11129456,48949251,39535624,10759957
Mexico,MEX,2010,9554728,54002683,40542884,9523601
Mexico,MEX,2012,8517380,54601121,42109564,11590143
Mexico,MEX,2014,8622699,59179683,41982035,9999847
Mexico,MEX,2016,5424162,53329178,50882035,12615977
Mexico,MEX,2018,4850951,51867460,54836279,13019022
Mexico,MEX,2020,5396612,53885563,55220463,12296418
Mexico,MEX,2022,2997195,44834269,64890110,15891546
Micronesia (country),FSM,2005,17550,64153,26661,3048
Micronesia (country),FSM,2013,28270,64543,14548,760
Micronesia (country) (urban),,2000,12655,8620,3139,605
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,1990,131247828,178051474,63659323,10320415
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,1991,126086619,192566692,64681276,10917061
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,1992,114477173,210459770,68599328,12310993
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,1993,118158481,215231647,70661602,13098606
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,1994,110098576,231123345,73169577,13725942
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,1995,111218304,238840978,74649125,14260457
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,1996,103862172,251101277,79484040,15411903
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,1997,104626113,255238682,84619371,16379898
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,1998,109181834,251419646,93365128,18080432
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,1999,112967654,253351216,98219986,18891640
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2000,117915068,252191384,104044882,20698970
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2001,124475961,254654628,105412840,21934843
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2002,125064540,261797773,108364526,22966249
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2003,117656164,279196943,108119131,25366738
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2004,107967688,284224367,114622185,36272288
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2005,104423780,294776268,118362217,38647975
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2006,100169054,305828785,122226589,41674068
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2007,97315541,314511092,126764684,45152491
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2008,87549931,330334056,132187119,47727998
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2009,93042984,330777417,139947151,48360960
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2010,83356163,346145805,146772849,48553855
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2011,82798160,355018928,152088601,49148199
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2012,80162621,364131564,158813499,50165788
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2013,77449200,379733366,158581389,51700045
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2014,78029788,387875192,161067640,53743988
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2015,78476901,391141546,167235410,57379103
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2016,79876961,396987871,169901931,60256789
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2017,79371371,404111241,172766893,62638239
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2018,80634027,412155714,174001736,63570827
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2019,84679395,420412641,174300796,63321600
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2020,91175671,436657692,168171709,60400240
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2021,92198104,438210888,175563154,61606286
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2022,90978065,441446895,183966969,65957447
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2023,92475309,446512226,190293578,68520359
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2024,95889313,452232203,194807608,70189660
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2025,97197071,458392790,199537257,71575986
Moldova,MDA,1997,560772,1920319,436631,18691
Moldova,MDA,1998,936505,1698318,286035,14369
Moldova,MDA,1999,1288740,1413778,210656,17448
Moldova,MDA,2000,1199045,1561709,157988,5926
Moldova,MDA,2001,939383,1724973,235189,18590
Moldova,MDA,2002,580226,1911097,401792,18270
Moldova,MDA,2003,291249,2021663,554014,36272
Moldova,MDA,2004,334554,1997495,530980,32994
Moldova,MDA,2005,479013,1933787,453871,22314
Moldova,MDA,2006,98058,1487359,1189848,105702
Moldova,MDA,2007,45474,1272995,1412815,143015
Moldova,MDA,2008,48688,1341754,1349004,129387
Moldova,MDA,2009,42127,1303227,1405623,114236
Moldova,MDA,2010,23905,1271046,1446169,121234
Moldova,MDA,2011,13301,1150082,1580183,117133
Moldova,MDA,2012,14913,1187675,1551723,106013
Moldova,MDA,2013,4221,1005855,1732133,117349
Moldova,MDA,2014,142,1025887,1736510,95276
Moldova,MDA,2015,1558,951484,1765180,117756
Moldova,MDA,2016,4622,949821,1752972,95771
Moldova,MDA,2017,1687,917457,1747291,88754
Moldova,MDA,2018,494,797860,1798534,110315
Moldova,MDA,2019,763,766718,1776236,120507
Moldova,MDA,2020,424,811968,1748753,73985
Moldova,MDA,2021,4274,726237,1764193,101105
Moldova,MDA,2022,1000,908495,1529692,89467
Moldova,MDA,2023,3176,855757,1497905,100945
Mongolia,MNG,1995,491913,1466172,266860,0
Mongolia,MNG,1998,921692,1342674,59443,0
Mongolia,MNG,2002,458174,1667005,323650,4900
Mongolia,MNG,2007,104905,1590379,863768,63474
Mongolia,MNG,2010,95689,1650938,940961,51034
Mongolia,MNG,2011,61050,1580754,1074927,69586
Mongolia,MNG,2012,30745,1357992,1331830,119138
Mongolia,MNG,2014,23130,1283377,1532431,124175
Mongolia,MNG,2016,59873,1725840,1231461,71682
Mongolia,MNG,2018,54255,1676204,1384502,93228
Mongolia,MNG,2022,15102,1261346,1958629,198671
Montenegro,MNE,2012,34810,195136,313243,78229
Montenegro,MNE,2013,32160,192100,318810,79517
Montenegro,MNE,2014,24081,184642,326475,88546
Montenegro,MNE,2015,22579,179773,333649,88650
Montenegro,MNE,2016,20748,144097,357845,102663
Montenegro,MNE,2017,29087,128938,367058,100899
Montenegro,MNE,2018,24485,147177,360025,94751
Montenegro,MNE,2019,15627,139006,367209,104911
Montenegro,MNE,2020,14056,139823,374602,98109
Montenegro,MNE,2021,15588,112106,384158,113201
Morocco,MAR,1984,4888054,14451088,2342297,172427
Morocco,MAR,1990,2778345,15390613,6006358,526302
Morocco,MAR,1998,4842726,17707047,4711975,420730
Morocco,MAR,2000,4827986,18325146,5124762,470244
Morocco,MAR,2006,2919937,20247548,7014889,966718
Morocco,MAR,2013,1249655,19316689,11760343,1669489
Mozambique,MOZ,1996,14571108,1749373,275638,19887
Mozambique,MOZ,2002,16791151,2101462,235284,47509
Mozambique,MOZ,2008,18012567,3784129,344407,61649
Mozambique,MOZ,2014,19431937,5638583,866003,185955
Mozambique,MOZ,2019,25070486,4850797,690430,100031
Mozambique,MOZ,2022,26633289,5164361,846132,90778
Myanmar,MMR,2015,9319001,36343302,5076467,350286
Myanmar,MMR,2017,5327653,39950543,6362874,253866
Namibia,NAM,1993,932129,382603,164790,66784
Namibia,NAM,2003,920741,702279,210677,100261
Namibia,NAM,2009,808424,881325,296070,109080
Namibia,NAM,2015,546845,1053995,572464,218522
Nauru,NRU,2012,1015,7115,2201,109
Nepal,NPL,1984,14300069,2894301,87098,0
Nepal,NPL,1995,15913336,6218208,340102,22004
Nepal,NPL,2003,14348173,9868583,1352490,201486
Nepal,NPL,2010,5884206,18782859,2614481,81238
Nepal,NPL,2022,723708,19156677,9470761,353878
Netherlands,NLD,1983,107584,393048,4811565,9054873
Netherlands,NLD,1987,66224,41634,4033501,10523678
Netherlands,NLD,1990,179597,116792,2498926,12156195
Netherlands,NLD,1993,225531,308471,2982609,11773757
Netherlands,NLD,1999,32082,82926,1818464,13878616
Netherlands,NLD,2004,55482,109544,2062865,14053888
Netherlands,NLD,2005,24206,120228,1895251,14280183
Netherlands,NLD,2006,7485,76917,1708582,14553117
Netherlands,NLD,2007,4690,78086,1378472,14920448
Netherlands,NLD,2008,28689,92331,1476233,14848340
Netherlands,NLD,2009,37717,44580,1395355,15052736
Netherlands,NLD,2010,7882,41461,1540638,15025413
Netherlands,NLD,2011,23279,44446,1527108,15098241
Netherlands,NLD,2012,12707,36227,1537180,15168848
Netherlands,NLD,2013,15261,80015,1763553,14945603
Netherlands,NLD,2014,25150,72598,1725606,15041654
Netherlands,NLD,2015,11563,72062,1412555,15443744
Netherlands,NLD,2016,9825,81521,1319513,15619455
Netherlands,NLD,2017,35306,78599,1187529,15829862
Netherlands,NLD,2018,19323,68197,1216966,15927138
Netherlands,NLD,2019,16604,86946,1215326,16025998
Netherlands,NLD,2020,7116,49951,928121,16456312
Netherlands,NLD,2021,17053,44815,929182,16541994
Nicaragua,NIC,1993,2099305,1747641,506008,100778
Nicaragua,NIC,1998,1696889,2380874,682643,123249
Nicaragua,NIC,2001,1338610,2689320,892050,167845
Nicaragua,NIC,2005,881339,3044472,1196372,219922
Nicaragua,NIC,2009,787065,3238898,1444658,185980
Nicaragua,NIC,2014,398591,3084730,2182788,400383
Niger,NER,1992,7974670,1020600,57067,5979
Niger,NER,1994,8457458,993862,58245,2551
Niger,NER,2005,11534364,2026099,162554,33175
Niger,NER,2007,12419783,2338810,209715,8377
Niger,NER,2011,11824314,5072480,276948,2542
Niger,NER,2014,11587913,7243178,377411,7406
Niger,NER,2018,13349272,8426866,790035,54919
Niger,NER,2021,15066246,9246960,562362,31488
Nigeria,NGA,1985,43643925,37591771,4246768,0
Nigeria,NGA,1992,56474168,39918269,5947216,33115
Nigeria,NGA,1996,69742473,37942802,6021446,798063
Nigeria,NGA,2003,71425928,62030436,6099490,229234
Nigeria,NGA,2010,65044079,92465586,11400844,100739
Nigeria,NGA,2012,66883309,99177228,12457033,107470
Nigeria,NGA,2015,69050171,108850518,14989709,167394
Nigeria,NGA,2018,71240545,123139818,13676390,292159
Nigeria,NGA,2022,94725734,122894902,8711725,178295
North America (WB),WB_NA,1990,1310069,4778776,56237940,215044927
North America (WB),WB_NA,1991,1462258,4977772,58554168,216082218
North America (WB),WB_NA,1992,1465518,5739100,58522484,219216578
North America (WB),WB_NA,1993,1671426,5894280,61827392,219269494
North America (WB),WB_NA,1994,1756698,5216594,59545958,225666606
North America (WB),WB_NA,1995,1675645,4967442,58801717,230195036
North America (WB),WB_NA,1996,1624527,4420179,61039139,231980187
North America (WB),WB_NA,1997,1812124,4768311,57846420,238196281
North America (WB),WB_NA,1998,2111522,4440618,54491010,245026674
North America (WB),WB_NA,1999,1820986,4216451,52942470,250522493
North America (WB),WB_NA,2000,1903105,4222314,51188377,255595900
North America (WB),WB_NA,2001,2397242,4307641,51968870,257377927
North America (WB),WB_NA,2002,2263327,4634090,52717885,259431226
North America (WB),WB_NA,2003,2706704,4950892,51593108,262562064
North America (WB),WB_NA,2004,2818118,4912808,52017057,265058673
North America (WB),WB_NA,2005,2799633,4882622,51662390,268477403
North America (WB),WB_NA,2006,2845223,4676687,51603751,271888291
North America (WB),WB_NA,2007,2785866,4523976,52286432,274586830
North America (WB),WB_NA,2008,3043534,4995667,54716211,274649164
North America (WB),WB_NA,2009,2716001,4480114,52771777,280497260
North America (WB),WB_NA,2010,3201572,5347991,53984171,280914106
North America (WB),WB_NA,2011,3079792,5396421,55536861,282229326
North America (WB),WB_NA,2012,3130864,5191362,56677456,284116446
North America (WB),WB_NA,2013,3184510,5035028,57491481,286159829
North America (WB),WB_NA,2014,3889546,4898650,57042447,288924525
North America (WB),WB_NA,2015,3661391,4819762,52614843,296487076
North America (WB),WB_NA,2016,3515822,4491163,49111108,303409491
North America (WB),WB_NA,2017,3905496,4547178,48791690,305972884
North America (WB),WB_NA,2018,3359704,4240385,45260637,312805290
North America (WB),WB_NA,2019,3027006,3894047,41424773,319563006
North America (WB),WB_NA,2020,945003,4486404,31606252,332633093
North America (WB),WB_NA,2021,857024,3437033,27747828,338362403
North America (WB),WB_NA,2022,4152369,4050216,42547500,322267931
North America (WB),WB_NA,2023,3783448,4006828,41364809,327799315
North America (WB),WB_NA,2024,3804134,3951276,40423024,333285790
North America (WB),WB_NA,2025,3806128,3937555,39899564,335863953
North Macedonia,MKD,2009,237424,814978,803463,102917
North Macedonia,MKD,2010,249472,704171,903895,88760
North Macedonia,MKD,2011,211814,741360,878973,105251
North Macedonia,MKD,2012,175808,748356,909679,95978
North Macedonia,MKD,2013,141914,771555,925155,84092
