pl_name,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,discoverymethod,disc_year
K2-138 d,2.39,0.104,-0.084,7.92,1.39,-1.35,Transit,2017
HD 103949 b,3.35,NA,NA,11.2,2.3,-2.3,Radial Velocity,2019
Kepler-1487 c,7.97,1.39,-2.77,48.7,NA,NA,Transit,2023
Kepler-722 c,2.82,0.56,-0.33,8.35,NA,NA,Transit,2016
K2-138 e,3.39,0.156,-0.11,12.97,1.98,-1.99,Transit,2017
K2-138 f,2.904,0.164,-0.111,1.63,2.12,-1.18,Transit,2017
Kepler-170 b,3.2,0.22,-0.22,82.6,67.5,-62.4,Transit,2014
Kepler-1542 e,0.76,0.1,-0.08,0.363,NA,NA,Transit,2016
Kepler-789 b,2.12,0.42,-0.23,5.14,NA,NA,Transit,2016
Kepler-328 c,5.4,2.24,-0.54,39.4,13.6,-12.6,Transit,2013
K2-32 d,3.484,0.112,-0.129,6.7,2.5,-2.5,Transit,2016
K2-32 b,5.299,0.191,-0.191,15,1.8,-1.7,Transit,2016
Kepler-299 b,1.32,0.27,-0.27,2.3,NA,NA,Transit,2014
K2-154 c,2.07,0.18,-0.13,4.94,NA,NA,Transit,2018
K2-32 c,3.134,0.123,-0.102,8.1,2.4,-2.4,Transit,2016
Kepler-1821 b,2.59248115,NA,NA,7.24,NA,NA,Transit,2021
K2-348 b,3.26,0.22,-0.11,10.7,NA,NA,Transit,2021
HD 164922 b,13.3,NA,NA,116,10,-12,Radial Velocity,2005
K2-100 b,3.88,0.16,-0.16,21.8,6.2,-6.2,Transit,2016
HIP 71135 b,4.55,NA,NA,18.8,4.1,-4.1,Radial Velocity,2019
Kepler-55 f,1.59,0.1,-0.1,3.15,NA,NA,Transit,2014
Kepler-1073 d,1.48770949,NA,NA,2.82,NA,NA,Transit,2021
Kepler-804 c,1.14,0.2,-0.14,1.55,NA,NA,Transit,2016
GJ 15 A b,1.55,NA,NA,3.03,0.46,-0.44,Radial Velocity,2014
Kepler-135 c,1.16,0.23,-0.23,1.65,NA,NA,Transit,2014
K2-138 g,3.013,0.303,-0.251,4.32,5.26,-3.03,Transit,2021
TOI-1231 b,3.65,0.16,-0.15,15.4,3.3,-3.3,Transit,2021
HD 73526 b,13.1,NA,NA,978.9164,98.5273,-98.5273,Radial Velocity,2002
Kepler-959 b,4.38,1.21,-0.87,17.6,NA,NA,Transit,2016
TOI-1062 b,2.265,0.096,-0.091,10.15,0.81,-0.84,Transit,2021
Kepler-1304 b,2.29,0.19,-0.53,5.86,NA,NA,Transit,2016
PH2 b,9.33708092,0.2914335,-0.26901554,87.08498352,20.97667486,-21.29450327,Transit,2013
Kepler-1043 b,2.55,0.39,-0.24,7.04,NA,NA,Transit,2016
Kepler-156 c,2.55,0.19,-0.19,7.04,NA,NA,Transit,2014
TOI-257 b,7.16253867,0.14571675,-0.14571675,43.86032017,7.31005336,-7.31005336,Transit,2021
Kepler-168 b,1.46,0.66,-0.66,2.73,NA,NA,Transit,2014
TOI-532 b,5.82,0.19,-0.19,61.5,9.7,-9.3,Transit,2021
K2-344 b,1.59,0.1,-0.05,3.15,NA,NA,Transit,2021
Kepler-1708 b,9.96,0.6,-0.59,1462.0106722,NA,NA,Transit,2021
TOI-1749 d,2.52,0.15,-0.15,15,NA,NA,Transit,2021
TOI-674 b,5.25,0.17,-0.17,23.6,3.3,-3.3,Transit,2021
Kepler-1310 b,1.44,0.16,-0.12,2.67,NA,NA,Transit,2016
TOI-1062 c,3.1,NA,NA,9.78,1.26,-1.18,Radial Velocity,2021
HD 5278 b,2.45,0.05,-0.05,7.8,1.5,-1.4,Transit,2021
HD 154857 b,13.3,NA,NA,778.6835,34.9613,-34.9613,Radial Velocity,2004
Kepler-1404 b,2.01,0.14,-0.21,4.7,NA,NA,Transit,2016
K2-99 c,12.6,NA,NA,2669.7586188,63.5656814,-63.5656814,Radial Velocity,2022
TOI-269 b,2.77,0.12,-0.12,8.8,1.4,-1.4,Transit,2021
Kepler-902 b,2.54,0.33,-0.18,6.99,NA,NA,Transit,2016
Kepler-894 b,2.78,0.3,-0.34,8.15,NA,NA,Transit,2016
TOI-628 b,11.88154,0.459569,-0.381106,2011.8639,92.1707,-98.5273,Transit,2021
HD 64121 b,13.2,NA,NA,813.64072192,60.38739733,-60.38739733,Radial Velocity,2022
HAT-P-58 b,14.93036229,0.48198617,-0.48198617,118.2321674,9.53485221,-9.53485221,Transit,2021
HAT-P-59 b,12.58768533,0.14571675,-0.14571675,489.45574678,21.29450327,-21.29450327,Transit,2021
Kepler-213 c,2.34,0.45,-0.45,6.08,NA,NA,Transit,2014
Kepler-1561 b,1.09,0.26,-0.18,1.32,NA,NA,Transit,2016
Kepler-1338 b,0.92,0.19,-0.1,0.721,NA,NA,Transit,2016
Kepler-53 d,2.12,1.05,-1.05,37.1907,NA,NA,Transit,2014
TOI-2202 c,13.4,NA,NA,117.27868218,32.73632592,-26.57045483,Transit Timing Variations,2021
K2-333 b,6.18,0.28,-0.25,31.6,NA,NA,Transit,2021
Kepler-542 b,1.57,0.1,-0.11,3.09,NA,NA,Transit,2016
Kepler-394 c,1.66,0.86,-0.86,3.39,NA,NA,Transit,2014
HD 213240 b,12.8,NA,NA,1655.88600047,476.7426105,-155.73591943,Radial Velocity,2001
Kepler-1640 b,4.82,2.48,-0.8,20.7,NA,NA,Transit,2016
Kepler-1423 b,1.06,0.09,-0.07,1.2,NA,NA,Transit,2016
55 Cnc B b,1.69,NA,NA,3.5,0.8,-0.8,Radial Velocity,2025
GJ 4274 c,2.83,NA,NA,8.39,1.68,-1.57,Radial Velocity,2026
55 Cnc c,8.51,NA,NA,54.4738,1.748,-1.748,Radial Velocity,2004
61 Vir c,4.46,NA,NA,18.2,1.1,-1.1,Radial Velocity,2009
HAT-P-43 b,13.63,0.64,-0.63,210.395,19.069,-19.069,Transit,2012
Kepler-1894 c,1.21,0.37,-0.11,1.92,NA,NA,Transit,2023
Kepler-1512 b,1.18,0.07,-0.11,1.76,NA,NA,Transit,2016
Kepler-825 b,1.53,0.39,-0.22,2.96,NA,NA,Transit,2016
Kepler-245 c,2.18,0.17,-0.17,26.7,7,-5.1,Transit,2014
Kepler-1233 b,2.6,1.08,-0.39,7.27,NA,NA,Transit,2016
K2-331 b,1.79,0.14,-0.1,3.86,NA,NA,Transit,2021
Kepler-1398 b,0.9,0.28,-0.12,0.666,NA,NA,Transit,2016
TOI-2184 b,11.39953337,0.57165802,-0.57165802,206.58846455,50.85254512,-50.85254512,Transit,2022
USco1621 b,12.2,NA,NA,5085.28,635.66,-635.66,Imaging,2019
Kepler-607 b,0.87,0.06,-0.07,0.59,NA,NA,Transit,2016
Kepler-1981 b,9.23,1.76,-4.1,62.5,NA,NA,Transit,2023
Kepler-1784 b,2.79936489,NA,NA,8.24,NA,NA,Transit,2021
TRAPPIST-1 f,1.045,0.013,-0.012,1.039,0.031,-0.031,Transit,2017
TRAPPIST-1 e,0.92,0.013,-0.012,0.692,0.022,-0.022,Transit,2017
TRAPPIST-1 g,1.129,0.015,-0.013,1.321,0.038,-0.038,Transit,2017
Kepler-1019 b,1.46,0.05,-0.16,2.73,NA,NA,Transit,2016
Kepler-1894 b,1.20117759,NA,NA,1.87,NA,NA,Transit,2021
TOI-2257 b,2.194,0.113,-0.111,5.45,NA,NA,Transit,2021
Kepler-97 b,1.48,0.13,-0.13,3.51,1.9,-1.9,Transit,2014
Kepler-1230 b,2.71,0.49,-0.29,7.8,NA,NA,Transit,2016
Kepler-300 b,1.67,0.76,-0.76,3.43,NA,NA,Transit,2014
LTT 1445 A c,1.147,0.055,-0.054,1.54,0.2,-0.19,Transit,2022
K2-75 c,2.77,0.38,-0.38,8.1,NA,NA,Transit,2016
K2-337 b,2.62,0.19,-0.14,7.37,NA,NA,Transit,2021
K2-275 b,2.34,0.25,-0.27,6.08,NA,NA,Transit,2018
HD 47186 b,5.02,NA,NA,22.2481,0,0,Radial Velocity,2008
Kepler-1024 b,3.91,0.27,-0.26,14.5,NA,NA,Transit,2016
Kepler-1559 b,0.72,0.07,-0.05,0.299,NA,NA,Transit,2016
Kepler-1725 b,2.8125177,NA,NA,8.31,NA,NA,Transit,2021
Kepler-155 c,2.24,0.15,-0.15,5.65,NA,NA,Transit,2014
Kepler-307 b,2.43,0.09,-0.09,7.44,0.91,-0.87,Transit,2013
Kepler-755 c,1.26,0.05,-0.05,2.13,NA,NA,Transit,2016
HATS-75 b,9.90873894,0.14571675,-0.14571675,156.05374784,12.39530787,-12.39530787,Transit,2021
Kepler-1991 b,1.47,0.2,-0.21,2.76,NA,NA,Transit,2023
Kepler-1637 b,0.89,0.18,-0.09,0.64,NA,NA,Transit,2016
Kepler-708 b,2.93,0.64,-0.28,8.91,NA,NA,Transit,2016
TIC 172900988 b,11.25,0.44,-0.44,942,5.6,-5.6,Transit,2021
HD 72659 b,13.2,NA,NA,949.67128012,821.9042605,-31.14718389,Radial Velocity,2002
Kepler-836 b,2.73,0.64,-0.32,7.9,NA,NA,Transit,2016
Kepler-178 b,2.9,1.25,-1.25,8.75,NA,NA,Transit,2014
TOI-3362 b,12.80065596,0.48198617,-0.45956821,1598.3590588,212.30937588,-205.31715092,Transit,2021
Kepler-1348 b,1.94,0.43,-0.23,4.42,NA,NA,Transit,2016
Kepler-984 b,2.12,0.13,-0.11,5.14,NA,NA,Transit,2016
TRAPPIST-1 h,0.755,0.014,-0.014,0.326,0.02,-0.02,Transit,2017
GPX-1 b,16.47720163,1.12089807,-1.12089807,6261.2196179,508.5254512,-508.5254512,Transit,2021
TOI-559 b,12.22899794,0.31385146,-0.28022452,1910.14872607,76.27881768,-73.10053361,Transit,2021
TOI-530 b,9.30345398,0.67253884,-0.67253884,127.1313628,28.60455663,-31.7828407,Transit,2021
Kepler-907 b,1.2,0.06,-0.05,1.87,NA,NA,Transit,2016
