pl_name,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,discoverymethod,disc_year
Kepler-1167 b,1.71,0.12,-0.12,3.57,NA,NA,Transit,2016
Kepler-1740 b,3.32321414,NA,NA,11,NA,NA,Transit,2021
Kepler-1581 b,0.8,0.14,-0.09,0.437,NA,NA,Transit,2016
Kepler-644 b,3.15,1.16,-0.61,10.1,NA,NA,Transit,2016
Kepler-1752 b,4.54060463,NA,NA,18.7,NA,NA,Transit,2021
Kepler-280 c,2.01,0.97,-0.97,4.7,NA,NA,Transit,2014
Kepler-1208 b,2.32,0.19,-0.14,5.99,NA,NA,Transit,2016
Kepler-263 c,2.47,1.35,-1.35,6.66,NA,NA,Transit,2014
Kepler-1101 b,2.47,0.37,-0.21,6.66,NA,NA,Transit,2016
HD 168746 b,11.1,NA,NA,85.8141,6.3566,-6.3566,Radial Velocity,2002
Kepler-560 b,1.72,0.09,-0.09,3.61,NA,NA,Transit,2016
Kepler-150 d,2.79,0.41,-0.41,8.2,NA,NA,Transit,2014
Kepler-498 b,3.03,0.5,-0.34,9.43,NA,NA,Transit,2016
Kepler-817 b,9.03,2.06,-1.13,60.2,NA,NA,Transit,2016
Kepler-937 b,3.72,1.29,-0.48,13.4,NA,NA,Transit,2016
K2-10 b,3.773,0.088,-0.048,25.2,8.4,-8.4,Transit,2015
Kepler-571 b,2.64,0.32,-0.17,7.46,NA,NA,Transit,2016
Kepler-1458 b,2.76,0.42,-0.21,8.05,NA,NA,Transit,2016
K2-335 b,2.21,0.18,-0.14,5.52,NA,NA,Transit,2021
Kepler-1600 c,1.94206512,NA,NA,4.43,NA,NA,Transit,2021
Kepler-221 d,2.73,0.25,-0.25,3.61,0.91,-0.81,Transit,2014
Kepler-626 b,2.29,0.28,-0.2,5.86,NA,NA,Transit,2016
Kepler-1549 b,2.57,0.22,-0.2,7.13,NA,NA,Transit,2016
K2-62 c,1.99,0.19,-0.07,4.62,NA,NA,Transit,2016
Kepler-1149 b,1.44,0.26,-0.17,2.67,NA,NA,Transit,2016
Kepler-1288 b,1.12,0.47,-0.16,1.46,NA,NA,Transit,2016
Kepler-128 b,1.421,0.04,-0.04,3.79,0.76,-0.66,Transit,2013
Kepler-1245 b,1.44,0.12,-0.1,2.67,NA,NA,Transit,2016
Kepler-1068 b,3.63,0.89,-0.37,12.8,NA,NA,Transit,2016
Kepler-311 c,1.43,0.28,-0.28,2.63,NA,NA,Transit,2014
Kepler-150 e,3.12,0.55,-0.55,9.91,NA,NA,Transit,2014
Kepler-272 c,1.79,0.96,-0.96,97.8,55.5,-33.9,Transit,2014
Kepler-152 c,2.39,0.16,-0.16,6.3,NA,NA,Transit,2014
Kepler-1506 b,1.32,0.19,-0.13,2.3,NA,NA,Transit,2016
CoRoT-3 b,11.32,0.78,-0.78,6883.91,317.8,-317.8,Transit,2008
HD 205739 b,13.6,NA,NA,435.41,22.25,-28.6,Radial Velocity,2008
NGTS-10 b,13.506845,1.311453,-0.930347,687.14846,29.24036,-34.00781,Transit,2020
HD 224693 b,14,NA,NA,222.481,38.1396,-38.1396,Radial Velocity,2006
HD 156279 b,12.5,NA,NA,2997.75753482,242.18524613,-254.58055401,Radial Velocity,2011
HD 12661 b,13.3,NA,NA,772.3269,44.4962,-44.4962,Radial Velocity,2000
HD 16417 b,5,NA,NA,22.1,2,-2,Radial Velocity,2008
HD 19994 b,13.6,NA,NA,435.41,38.14,-38.14,Radial Velocity,2003
HD 156279 c,12.5,NA,NA,3098.82696825,419.21566883,-192.28618624,Radial Velocity,2018
GJ 179 b,13.8,NA,NA,301.93698665,50.85254512,-34.96112477,Radial Velocity,2009
GQ Lup b,33.6,5.6,-5.6,6356,NA,NA,Imaging,2004
GJ 832 b,13.8,NA,NA,314.65012293,28.60455663,-25.42627256,Radial Velocity,2008
HD 37605 b,13.2,NA,NA,854.9627,95.349,-95.349,Radial Velocity,2004
HD 33283 b,12.5,NA,NA,104.56607,22.56593,-22.56593,Radial Velocity,2006
HD 9446 b,14,NA,NA,222.472,19.069,-19.069,Radial Velocity,2009
HD 134987 c,13.9,NA,NA,260,10,-10,Radial Velocity,2009
HD 110014 b,12.4,NA,NA,3524.59,317.82,-317.82,Radial Velocity,2009
HD 79498 b,13.6,NA,NA,425.8922,66.7443,-66.7443,Radial Velocity,2011
HD 45652 b,14.3,NA,NA,137.62039,24.15508,-24.15508,Radial Velocity,2008
HIP 79431 b,13.4,NA,NA,667.415,NA,NA,Radial Velocity,2009
HD 3167 b,1.67,0.17,-0.1,4.97,0.24,-0.23,Transit,2016
GJ 876 b,13.3,NA,NA,723.2235,1.4302,-1.4302,Radial Velocity,1998
HD 114783 c,13.4,NA,NA,603.8739733,158.9142035,-127.1313628,Radial Velocity,2018
HD 47186 c,13,NA,NA,111.42,NA,NA,Radial Velocity,2008
HD 114783 b,13.7,NA,NA,349.6,19.07,-19.07,Radial Velocity,2001
HD 148156 b,13.9,NA,NA,270.144,212.937,-15.8908,Radial Velocity,2009
HD 12661 c,13.2,NA,NA,899.45439181,260.61929374,-212.94503269,Radial Velocity,2002
HIP 14810 c,13.6,NA,NA,416.3573,57.2094,-57.2094,Radial Velocity,2006
HIP 14810 b,13,NA,NA,1239.537,155.7367,-155.7367,Radial Velocity,2005
GJ 876 d,2.51,NA,NA,6.83,0.4,-0.4,Radial Velocity,2005
GJ 876 e,3.92,NA,NA,14.6,1.7,-1.7,Radial Velocity,2010
gam1 Leo b,12.5,NA,NA,2790.43,317.817,-317.817,Radial Velocity,2009
HD 156411 b,14,NA,NA,235.18,15.89,-12.71,Radial Velocity,2009
HD 8535 b,14,NA,NA,216.1244,22.2481,-12.7132,Radial Velocity,2010
HD 37605 c,13.1,NA,NA,1013.8777,120.7754,-120.7754,Radial Velocity,2012
HD 1605 c,13,NA,NA,1150.5446,73.1009,-73.1009,Radial Velocity,2015
BD+20 2457 b,12.1,NA,NA,6807.63,NA,NA,Radial Velocity,2009
HD 240210 b,12.8,NA,NA,1655.82,NA,NA,Radial Velocity,2009
CoRoT-17 b,11.43,0.78,-0.78,772.29,95.34,-95.34,Transit,2011
HD 132563 b,13.6,NA,NA,473.547,28.6035,-28.6035,Radial Velocity,2011
HD 55696 b,12.9,NA,NA,1357.12729789,317.828407,-219.30160083,Radial Velocity,2018
HD 148164 b,13.7,NA,NA,390.9309,79.4575,-79.4575,Radial Velocity,2018
24 Sex c,13.9,NA,NA,273.32,111.24,-69.92,Radial Velocity,2010
HD 22781 b,12.3,NA,NA,4338.2,308,-308,Radial Velocity,2011
HD 68988 b,13.4,NA,NA,626.1251,31.783,-31.783,Radial Velocity,2001
HD 148164 c,12.8,NA,NA,1640.0028,260.6206,-260.6206,Radial Velocity,2018
HD 29985 b,12.8,NA,NA,1739.47487151,617.85842321,-367.7274669,Radial Velocity,2022
HD 3167 c,3,0.45,-0.21,11.13,0.78,-0.74,Transit,2016
HD 90156 b,4.43,NA,NA,17.98,1.46,-1.46,Radial Velocity,2009
HD 45350 b,13.5,NA,NA,568.89,44.49,-44.49,Radial Velocity,2004
MOA-2009-BLG-266L b,3.21,NA,NA,10.4,1.7,-1.7,Microlensing,2011
Kepler-595 c,1.009,0.024,-0.024,3.3,1.7,-1,Transit,2020
Kepler-595 b,3.708,0.01,-0.01,17.4,7.1,-3.8,Transit,2016
HD 177830 c,7.87,NA,NA,47.6725,6.35633,-6.35633,Radial Velocity,2010
OGLE-TR-111 b,11.421971,0.291434,-0.291434,174.799,31.782,-31.782,Transit,2004
PSR B1257+12 b,0.338,NA,NA,0.02,0.002,-0.002,Pulsar Timing,1994
PSR B1257+12 d,1.8,NA,NA,3.9,0.2,-0.2,Pulsar Timing,1992
MOA-2007-BLG-192L b,1.63,NA,NA,3.3,4.9,-1.6,Microlensing,2008
CoRoT-18 b,14.68,2.02,-2.02,1102.82,120.77,-120.77,Transit,2011
Kepler-45 b,10.76,1.23,-1.23,160.497,28.604,-28.604,Transit,2011
WASP-23 b,10.783,0.527,-0.628,280.95,27.968,-31.464,Transit,2010
HD 107148 b,9.6,NA,NA,66.741,11.441,-11.441,Radial Velocity,2005
SWEEPS-11 b,12.666,2.354,-2.354,3082.82,1779.77,-1430.17,Transit,2006
OGLE-TR-211 b,15.244,2.018,-1.009,327.351,63.563,-63.563,Transit,2007
Lupus-TR-3 b,9.976,0.785,-0.785,257.431,57.207,-57.207,Transit,2007
OGLE-2005-BLG-390L b,2.21,NA,NA,5.5,5.5,-2.7,Microlensing,2005
HN Peg b,11.7768,1.52663,-0.65427,6991.57,2996.39,-2996.39,Imaging,2006
MOA-2009-BLG-387L b,13.2,NA,NA,830,1300,-510,Microlensing,2010
GJ 674 b,3.33,NA,NA,11.09,NA,NA,Radial Velocity,2007
CoRoT-11 b,16.03,0.34,-0.34,740.51,108.06,-108.06,Transit,2010
2MASS J04414489+2301513 b,12.6,NA,NA,2383.6,794.5,-794.5,Imaging,2010
GJ 3634 b,2.83,NA,NA,8.4,4,-1.5,Radial Velocity,2010
CoRoT-13 b,9.92,0.157,-0.157,415.704,20.976,-20.976,Transit,2010
OGLE-TR-10 b,14.011,1.569,-1.345,197.046,44.494,-44.494,Transit,2004
HD 27442 b,13.5,NA,NA,495.8,44.5,-44.5,Radial Velocity,2000
GJ 3021 b,13.1,NA,NA,1071.04,28.6,-28.6,Radial Velocity,2000
CoRoT-8 b,6.39,0.22,-0.22,69.92,9.53,-9.53,Transit,2010
Kepler-18 c,5.49,0.26,-0.26,17.3,1.9,-1.9,Transit,2011
Kepler-18 b,2,0.1,-0.1,6.9,3.4,-3.4,Transit,2011
HD 46375 b,10,NA,NA,71.8,6,-6,Radial Velocity,2000
HD 136352 d,2.562,0.088,-0.079,8.82,0.93,-0.92,Radial Velocity,2019
HD 221287 b,13.1,NA,NA,982.05,251.08,-251.08,Radial Velocity,2007
HD 33564 b,12.5,NA,NA,2892.1,NA,NA,Radial Velocity,2005
HD 189733 b,12.66617,0.11209,-0.11209,359.1479,25.4264,-25.4264,Radial Velocity,2005
Kepler-4 b,4.002,0.213,-0.213,24.472,3.814,-3.814,Transit,2009
WASP-38 b,13.78707,0.67254,-0.67254,1093.3352,114.4188,-114.4188,Transit,2010
HAT-P-13 c,12.3,NA,NA,4538.421,88.989,-88.989,Radial Velocity,2009
Kepler-18 d,6.98,0.33,-0.33,16.4,1.4,-1.4,Transit,2011
HAT-P-37 b,13.204,0.863,-0.863,371.528,32.735,-32.735,Transit,2011
HD 129445 b,13.3,NA,NA,797.74930156999994,349.6112477,-171.62733978,Radial Velocity,2009
Kepler-419 c,12.6,NA,NA,2320.1,127.1,-127.1,Transit Timing Variations,2014
HD 70573 b,12.8,NA,NA,1900,130,-130,Radial Velocity,2007
HD 47536 b,12.6,NA,NA,2330,750,-750,Radial Velocity,2002
WASP-67 b,12.89035,1.23299,-1.23299,136.6669,28.6047,-28.6047,Transit,2012
CoRoT-14 b,12.22,0.78,-0.78,2415.4,190.7,-190.7,Transit,2010
HD 102365 b,4.14,NA,NA,16,2.6,-2.6,Radial Velocity,2010
MOA-2008-BLG-310L b,5.18,NA,NA,23.4,17,-17,Microlensing,2009
Kepler-419 b,10.8,1.4,-1.3,794.5,95.3,-95.3,Transit,2014
HD 24040 b,12.9,NA,NA,1589.142035,114.41822652,-82.63538582,Radial Velocity,2006
HD 11964 c,5.38,NA,NA,25,3.1,-3.1,Radial Velocity,2008
CoRoT-6 b,13.068,0.392,-0.392,940.74,108.06,-108.06,Transit,2009
WASP-31 b,17.363,0.56,-0.56,151.916,9.217,-9.217,Transit,2010
HD 108236 f,2.017,0.052,-0.057,4.72,NA,NA,Transit,2021
Kepler-59 c,1.98,NA,NA,3.81,2.64,-0.98,Transit,2012
Kepler-58 c,2.86,NA,NA,53,NA,NA,Transit,2012
HD 154857 c,13.2,NA,NA,819.97,50.85,-50.85,Radial Velocity,2014
Kepler-51 c,9,2.8,-1.7,4,0.4,-0.4,Transit,2012
BD-210397 c,12.9,NA,NA,1525.5763536,190.6970442,-190.6970442,Radial Velocity,2023
Kepler-62 c,0.54,0.03,-0.03,4,NA,NA,Transit,2013
Kepler-62 b,1.31,0.04,-0.04,9,NA,NA,Transit,2013
CHXR 73 b,12.3,NA,NA,3994.486,2662.991,-1664.369,Imaging,2006
FU Tau b,12.2,NA,NA,5085.28,NA,NA,Imaging,2008
GJ 667 C b,2.25,NA,NA,5.68,0.23,-0.23,Radial Velocity,2012
HD 168443 c,12.2,NA,NA,5500.33841154,810.46243785,-287.95253674,Radial Velocity,2000
Kepler-59 b,1.1,NA,NA,4.1,2.8,-1,Transit,2012
Kepler-53 b,2.89,NA,NA,111,NA,NA,Transit,2012
HD 82943 c,13.4,NA,NA,622.603,14.937,-14.937,Radial Velocity,2003
HD 82943 b,13.5,NA,NA,534.25,8.899,-8.899,Radial Velocity,2003
Kepler-69 b,2.24,0.44,-0.29,5.65,NA,NA,Transit,2013
HIP 5158 c,12.2,NA,NA,4780.1632,3353.1065,-3353.1065,Radial Velocity,2011
HU Aqr AB b,12.8,NA,NA,1875.197,190.698,-190.698,Eclipse Timing Variations,2011
Kepler-37 e,0.37,0.18,-0.18,8.1,1.7,-1.7,Transit Timing Variations,2014
Kepler-65 d,1.52,0.04,-0.04,4.14,0.79,-0.8,Transit,2012
Kepler-52 c,1.84,NA,NA,45.4,NA,NA,Transit,2012
Kepler-55 b,2.43,NA,NA,43,37.2,-18,Transit,2012
Kepler-413 b,4.347,0.099,-0.099,67,22,-21,Transit,2014
WASP-14 b,15.46842,0.89672,-0.89672,2809.6172,444.962,-444.962,Transit,2008
HAT-P-2 b,10.659759,0.437151,-0.594077,2866.81223114,31.7828407,-31.7828407,Transit,2007
HAT-P-42 b,14.348,1.715,-1.715,331.801,26.379,-26.379,Transit,2012
WASP-59 b,8.687,0.762,-0.762,274.276,14.302,-14.302,Transit,2012
HAT-P-39 b,17.609,1.211,-0.908,190.372,31.464,-31.464,Transit,2012
alf Ari b,13.4,NA,NA,572.07,63.563,-63.563,Radial Velocity,2010
KOI-55 b,0.759,NA,NA,0.44,NA,NA,Orbital Brightness Modulation,2011
GJ 536 b,2.41,NA,NA,6.37,0.38,-0.38,Radial Velocity,2016
WTS-2 b,15.277867,0.683749,-0.683749,355.9696,50.8528,-50.8528,Transit,2014
KELT-6 c,13,NA,NA,1179.1493,66.7443,-66.7443,Radial Velocity,2015
KOI-55 c,0.867,NA,NA,0.655,NA,NA,Orbital Brightness Modulation,2011
Ross 458 c,14.01125,NA,NA,1906.98,NA,NA,Imaging,2010
Kepler-38 b,4.3,0.11,-0.11,122,NA,NA,Transit,2012
Kepler-30 d,8.8,0.5,-0.5,23.1,2.7,-2.7,Transit,2012
ROXs 42 B b,12.5,NA,NA,2860,953,-953,Imaging,2013
HD 27894 b,14.1,NA,NA,196.73578393,15.89142035,-15.89142035,Radial Velocity,2005
Kepler-50 c,2.17,0.07,-0.08,8.2,NA,NA,Transit,2012
HD 233604 b,12.7,NA,NA,2089.644,NA,NA,Radial Velocity,2013
WD 0806-661 b,12.6,NA,NA,2542.627256,635.656814,-635.656814,Imaging,2011
Kepler-63 b,6.11,0.2,-0.2,120,NA,NA,Transit,2013
Kepler-77 b,10.761,0.179,-0.179,136.661,10.17,-10.17,Transit,2013
HAT-P-44 c,13,NA,NA,1271.3,444.9,-254.3,Radial Velocity,2014
HATS-5 b,10.223,0.28,-0.28,75.323,3.814,-3.914,Transit,2014
WTS-1 b,16.7,1.79,-2.02,1274.44,111.24,-111.24,Transit,2012
HD 11506 d,12.3,NA,NA,4068.2036096,190.6970442,-158.9142035,Radial Velocity,2022
CoRoT-26 b,14.12,1.46,-0.78,165.26,15.89,-15.89,Transit,2013
CoRoT-25 b,12.11,3.4,-1.12,85.81,12.71,-12.71,Transit,2013
Kepler-186 b,1.07,0.12,-0.12,1.24,NA,NA,Transit,2014
91 Aqr b,13.1,NA,NA,1017,NA,NA,Radial Velocity,2013
GJ 163 b,3.25,NA,NA,10.6,0.6,-0.6,Radial Velocity,2013
Kepler-27 c,4.9,NA,NA,4385.87,NA,NA,Transit,2011
Kepler-27 b,4,NA,NA,2895.31,NA,NA,Transit,2011
HD 215497 c,13,NA,NA,111.23994245,6.35656814,-6.35656814,Radial Velocity,2009
Kepler-186 d,1.4,0.16,-0.16,2.54,NA,NA,Transit,2014
Kepler-11 d,3.12,0.06,-0.07,7.3,0.8,-1.5,Transit,2010
Kepler-11 b,1.8,0.03,-0.05,1.9,1.4,-1,Transit,2010
Kepler-31 c,5.3,1.1,-1.1,1493.7,NA,NA,Transit,2011
Kepler-32 c,2,0.2,-0.2,158.9,NA,NA,Transit,2011
Kepler-1735 b,1.19429134,NA,NA,1.84,NA,NA,Transit,2021
HD 66141 b,12.8,NA,NA,1906.9,95.3,-95.3,Radial Velocity,2012
HD 208527 b,12.5,NA,NA,3146.4,540.3,-540.3,Radial Velocity,2012
MOA-bin-1L b,13,NA,NA,1200,670,-670,Microlensing,2012
GU Psc b,14.179,1.289,-1.289,3591.3,540.3,-540.3,Imaging,2014
GJ 163 c,2.5,NA,NA,6.8,0.9,-0.9,Radial Velocity,2013
GJ 163 d,5.92,NA,NA,29.4,2.9,-2.9,Radial Velocity,2013
Kepler-32 d,2.7,0.2,-0.2,39.9089,NA,NA,Transit,2012
Kepler-31 d,3.9,0.8,-0.8,2161.244,NA,NA,Transit,2014
HAT-P-45 b,15.984,1.962,-0.975,283.492,43.541,-31.464,Transit,2014
HAT-P-44 b,13.922,1.188,-0.572,111.871,9.217,-9.217,Transit,2014
MOA-2010-BLG-073L b,12.4,NA,NA,3500,640,-640,Microlensing,2012
HAT-P-27 b,11.43,0.78,-0.67,197.05,9.53,-9.53,Transit,2011
DENIS-P J082303.1-491201 b,11.9,NA,NA,9057.77,603.85,-603.85,Astrometry,2013
HIP 63242 b,12.5,NA,NA,2917.56,NA,NA,Radial Velocity,2013
Kepler-31 b,5.5,1.1,-1.1,36.7418,NA,NA,Transit,2011
Kepler-32 f,0.82,0.07,-0.07,969.228,NA,NA,Transit,2012
HD 66428 c,13.5,NA,NA,560.64930995,1081.88789743,-13.03096469,Radial Velocity,2021
Kepler-424 c,12.7,NA,NA,2215.18,197.05,-197.05,Radial Velocity,2014
KMT-2023-BLG-1896L b,4.19,NA,NA,16.35,9.81,-8.44,Microlensing,2025
HD 190984 b,13,NA,NA,1137.82569706,381.3940884,-143.02278315,Radial Velocity,2009
Kepler-134 c,1.26,0.25,-0.25,2.13,NA,NA,Transit,2014
Kepler-210 b,2.94,0.21,-0.21,8.96,NA,NA,Transit,2014
Kepler-422 b,12.89,1.23,-1.23,136.66,41.32,-41.32,Transit,2014
Kepler-426 b,12.22,0.34,-0.34,108.06,25.43,-25.43,Transit,2014
Kepler-16 b,8.4493,0.0291,-0.0291,105.833,5.085,-5.085,Transit,2011
KOI-94 d,11.27,1.06,-1.06,106,11,-11,Transit,2013
KOI-94 b,1.71,0.16,-0.16,10.5,4.6,-4.6,Transit,2013
Kepler-35 b,8.16,0.157,-0.157,40.363,6.356,-6.356,Transit,2011
HD 103774 b,13.3,NA,NA,116,7,-7,Radial Velocity,2013
HD 109271 b,4.31,NA,NA,17.162,1.271,-1.271,Radial Velocity,2013
Kepler-415 c,2.01,0.15,-0.06,4.7,NA,NA,Transit Timing Variations,2014
HD 50554 b,12.8,NA,NA,1859.29618095,286.0455663,-165.27077164,Radial Velocity,2002
Kepler-428 b,12.11,0.34,-0.34,403.63,60.39,-60.39,Transit,2014
Kepler-425 b,10.962,0.247,-0.247,79.45,25.43,-25.43,Transit,2014
WASP-70 A b,13.047,0.818,-1.143,187.512,6.992,-6.992,Transit,2014
KOI-94 e,6.56,0.62,-0.62,35,18,-28,Transit,2013
Kepler-396 c,5.3,1.95,-0.99,17.9,2.8,-1.3,Transit,2013
MOA-2010-BLG-477L b,13.6,NA,NA,480,300,-100,Microlensing,2012
HD 183263 b,13.1,NA,NA,1103.1824007,91.85240962,-96.61983573,Radial Velocity,2004
HD 166724 b,13,NA,NA,1207.7479466,206.58846455,-92.17023803,Radial Velocity,2012
Kepler-122 f,1.75,0.6,-0.16,36,19.4,-16.2,Transit Timing Variations,2014
Kepler-96 b,2.67,0.22,-0.22,8.46,3.4,-3.4,Transit,2014
KOI-13 b,16.948008,0.392315,-0.392315,2949.4624,50.8528,-50.8528,Transit,2011
Kepler-17 b,14.68,0.22,-0.22,778.65,34.96,-34.96,Transit,2011
TOI-7510 d,10.52,0.32,-0.32,190,20,-20,Transit,2025
CoRoT-23 b,11.77,1.46,-1.46,889.9,95.3,-95.3,Transit,2011
BD+20 274 b,13,NA,NA,1334.886,NA,NA,Radial Velocity,2012
HD 219415 b,13.8,NA,NA,317.83,NA,NA,Radial Velocity,2012
HD 150706 b,13.3,NA,NA,772.32302901,152.55763536,-120.77479466,Radial Velocity,2012
OGLE-2011-BLG-0251L b,14.2,NA,NA,170,67,-67,Microlensing,2012
Kepler-414 c,3.01,0.54,-0.25,29.9,12.4,-10.5,Transit Timing Variations,2014
HD 3167 e,2.83,NA,NA,8.41,1.02,-1.02,Radial Velocity,2022
Kepler-42 c,0.73,0.2,-0.2,60.337,NA,NA,Transit,2011
Kepler-33 c,3.2,0.3,-0.3,0.39,1.24,-0.32,Transit,2011
Kepler-641 b,1.85,0.31,-0.25,4.08,NA,NA,Transit,2016
Kepler-410 A b,2.838,0.054,-0.054,8.44,NA,NA,Transit,2013
Kepler-314 c,2.9,0.43,-0.43,8.75,NA,NA,Transit,2014
HD 168863 b,12.7,NA,NA,2154.87659946,354.0608454,-348.33993407,Radial Velocity,2022
Kepler-415 b,1.21,0.13,-0.1,119.9,102.1,-87.4,Transit Timing Variations,2014
Kepler-338 e,1.56,0.07,-0.07,8.5,7.2,-6.3,Transit Timing Variations,2014
Kepler-33 e,4.02,0.38,-0.38,5.57,1.16,-1.07,Transit,2011
Kepler-33 b,1.74,0.18,-0.18,3.68,NA,NA,Transit,2011
Kepler-46 c,13.5,NA,NA,119.499,6.674,-6.039,Transit Timing Variations,2012
Kepler-318 b,4.71,0.83,-0.83,19.9,NA,NA,Transit,2014
Kepler-314 b,0.83,0.12,-0.12,0.498,NA,NA,Transit,2014
Kepler-46 b,9.057,0.471,-0.482,1907,NA,NA,Transit,2012
USco CTIO 108 b,12.3,NA,NA,4449.62,635.66,-2542.64,Imaging,2008
Kepler-130 c,2.9,0.25,-0.25,8.75,NA,NA,Transit,2014
Kepler-418 b,13.45,1.79,-1.79,349.6112477,NA,NA,Transit,2014
Kepler-33 f,4.46,0.41,-0.41,9.6,1.7,-1.8,Transit,2011
Kepler-33 d,5.35,0.49,-0.49,3.91,1.87,-1.8,Transit,2011
HD 155358 c,13.9,NA,NA,261,22,-22,Radial Velocity,2007
Kepler-52 b,2.1,NA,NA,135,NA,NA,Transit,2012
Kepler-58 b,2.78,NA,NA,35.5,NA,NA,Transit,2012
HD 183263 c,12.5,NA,NA,2958.98246917,483.73483545,-579.08335755,Radial Velocity,2008
HD 187123 b,14.2,NA,NA,166.218,13.666,-13.666,Radial Velocity,1998
V0391 Peg b,13.1,NA,NA,1017.056,222.481,-222.481,Pulsation Timing Variations,2007
Kepler-62 e,1.61,0.05,-0.05,36,NA,NA,Transit,2013
HD 197037 b,13.9,NA,NA,251,16,-16,Radial Velocity,2012
CFBDSIR J145829+101343 b,12.4,NA,NA,3337.1,1430.2,-1430.2,Imaging,2011
Kepler-269 b,2.47,1.15,-1.15,6.66,NA,NA,Transit,2014
Kepler-300 c,2.25,1.04,-1.04,5.69,NA,NA,Transit,2014
Kepler-149 d,3.96,0.68,-0.68,14.9,NA,NA,Transit,2014
Kepler-124 d,1.11,0.07,-0.07,1.41,NA,NA,Transit,2014
Kepler-276 d,2.8,1.23,-0.27,16.3,5,-4.3,Transit,2013
Kepler-114 c,1.6,0.18,-0.18,2.8,0.6,-0.6,Transit,2013
Kepler-297 b,2.87,0.52,-0.52,48.5,11.2,-7,Transit,2014
WASP-83 b,11.65736,0.89672,-0.56045,95.349,9.5349,-9.5349,Transit,2015
WASP-89 b,11.65736,0.44836,-0.44836,1875.197,127.132,-127.132,Transit,2015
Kepler-402 c,1.56,0.35,-0.35,3.05,NA,NA,Transit,2014
Kepler-157 b,1.32,0.26,-0.26,2.3,NA,NA,Transit,2014
HATS-6 b,11.186582,0.212971,-0.212971,101.38777,22.2481,-22.2481,Transit,2015
Kepler-450 c,2.62,0.14,-0.14,12.5,3.2,-2.6,Transit,2015
Kepler-81 c,2.37,0.37,-0.37,4.3,2.7,-1.8,Transit,2012
Kepler-412 b,15.031269,0.493196,-0.515614,299.07803,39.72875,-6.03877,Transit,2014
Kepler-92 b,3.51,0.1,-0.1,64.3,13.9,-13.9,Transit,2013
Kepler-288 c,2.85,1.36,-1.36,8.5,NA,NA,Transit,2014
Kepler-295 b,1.22,0.64,-0.64,1.98,NA,NA,Transit,2014
Kepler-178 d,3.95,1.7,-1.7,14.8,NA,NA,Transit,2014
Kepler-44 b,12.22,0.78,-0.78,317.82,31.78,-31.78,Transit,2011
Kepler-41 b,14.46,0.22,-0.22,177.98,25.43,-25.43,Transit,2011
Kepler-450 d,0.837,0.068,-0.068,17.6,9.5,-6.7,Transit,2015
POTS-1 b,10.548,0.404,-0.527,734.16,244.72,-244.72,Transit,2013
Kepler-350 d,2.8,1.28,-0.54,14.9,5.3,-4.7,Transit,2013
Kepler-238 f,2,0.85,-0.17,13.5,2.9,-2.5,Transit,2013
Kepler-287 c,3.26,1.49,-1.49,66,18,-15,Transit,2014
Kepler-285 b,1.34,0.58,-0.58,2.36,NA,NA,Transit,2014
Kepler-181 b,1.27,0.62,-0.62,2.15,NA,NA,Transit,2014
Kepler-1398 c,1.03,0.37,-0.15,1.08,NA,NA,Transit,2016
RR Cae b,13,NA,NA,1334.886,127.132,-127.132,Eclipse Timing Variations,2012
WASP-24 b,15.46842,1.79344,-1.79344,394.1092,92.1707,-92.1707,Transit,2010
WASP-21 b,11.99,0.56,-0.56,95.345,3.496,-3.496,Transit,2010
LHS 3844 b,1.303,0.022,-0.022,2.25,NA,NA,Transit,2019
TOI-237 b,1.44,0.12,-0.12,2.67,NA,NA,Transit,2020
K2-237 b,16.06246934,0.62770292,-0.54924005,434.15360396,34.96112477,-29.24021344,Transit,2018
Kepler-284 b,2.24,0.98,-0.98,5.65,NA,NA,Transit,2014
Kepler-654 b,2.07,0.37,-0.26,4.94,NA,NA,Transit,2016
Kepler-199 c,3.25,0.58,-0.58,10.6,NA,NA,Transit,2014
Kepler-214 b,2.61,0.49,-0.49,7.32,NA,NA,Transit,2014
Kepler-87 b,13.49,0.55,-0.55,324.2,8.8,-8.8,Transit,2013
Kepler-75 b,11.77,0.34,-0.34,3209.9,127.1,-127.1,Transit,2013
Kepler-74 b,10.76,0.22,-0.22,200.22,38.14,-38.14,Transit,2013
Kepler-145 c,4.32,0.12,-0.12,79.4,16.4,-16.4,Transit,2013
Kepler-328 b,2.3,0.96,-0.23,28.5,12.9,-12.3,Transit,2013
Kepler-115 c,2.6,0.5,-0.5,7.27,NA,NA,Transit,2014
Kepler-341 c,1.7,0.86,-0.86,3.53,NA,NA,Transit,2014
Kepler-225 b,1.2,0.07,-0.07,1.87,NA,NA,Transit,2014
Kepler-871 b,3.74,1.08,-0.55,13.5,NA,NA,Transit,2016
Kepler-56 c,9.8,0.46,-0.46,181,21,-19,Transit,2012
XO-5 b,12.78,0.34,-0.34,378.2,9.53,-9.53,Transit,2008
Kepler-447 b,18.49,6.61,-6.28,435.41,152.55,-146.2,Transit,2015
Kepler-216 b,2.35,0.46,-0.46,6.12,NA,NA,Transit,2014
Kepler-259 c,2.7,1.31,-1.31,7.75,NA,NA,Transit,2014
