"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"78526011641","2017-01-01","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  80.1","24","  70.8","24","1018.7","24","018.6","24"," 10.0","24"," 11.1","24"," 19.0"," 21.0","  84.9"," ","  72.0"," "," 0.03","G","999.9","000000"
"78526011641","2017-01-02","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  79.6","24","  71.4","24","1019.2","24","019.0","24"," 10.0","24"," 11.6","24"," 19.0"," 21.0","  84.9"," ","  75.0"," "," 0.01","G","999.9","010000"
"78526011641","2017-01-03","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  78.2","24","  71.6","24","1016.3","24","016.2","24"," 10.0","24","  8.3","24"," 15.0","999.9","  84.9"," ","  73.0"," "," 0.23","G","999.9","010000"
"78526011641","2017-01-04","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  78.2","24","  69.6","24","1014.9","24","014.7","24"," 10.0","24","  4.2","24"," 12.0","999.9","  84.9"," ","  72.0"," "," 0.26","G","999.9","000000"
"78526011641","2017-01-05","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  78.6","24","  68.6","24","1014.8","24","014.6","24"," 10.0","24","  4.0","24"," 12.0","999.9","  88.0"," ","  72.0"," "," 0.02","G","999.9","000000"
"78526011641","2017-01-06","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  79.4","24","  70.6","24","1016.4","24","016.2","24"," 10.0","24","  6.2","24"," 15.9"," 21.0","  88.0"," ","  73.0"," "," 0.00","G","999.9","000000"
"78526011641","2017-01-07","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  79.2","24","  71.8","24","1017.8","24","017.7","24"," 10.0","24","  7.7","24"," 17.1"," 20.0","  87.1"," ","  73.9"," "," 0.02","G","999.9","010000"
"78526011641","2017-01-08","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  79.4","24","  71.4","24","1017.3","24","017.2","24"," 10.0","24","  5.2","24"," 13.0","999.9","  86.0"," ","  73.9"," "," 0.01","G","999.9","010000"
"78526011641","2017-01-09","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  78.1","24","  71.1","24","1017.2","24","017.0","24"," 10.0","24","  3.6","24"," 13.0","999.9","  86.0"," ","  73.9"," "," 0.00","G","999.9","010000"
"78526011641","2017-01-10","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  78.2","24","  70.5","24","1015.8","24","015.7","24"," 10.0","24","  5.9","24"," 14.0"," 20.0","  84.0"," ","  73.9"," "," 0.08","G","999.9","010000"
