"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"78526011641","2019-01-01","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  78.0","24","  67.9","24","1018.3","24","018.2","24"," 10.0","24"," 11.2","24"," 19.0"," 26.0","  82.9"," ","  73.0"," "," 0.01","G","999.9","010000"
"78526011641","2019-01-02","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  77.6","24","  68.2","24","1018.5","24","018.3","24","  9.9","24","  9.5","24"," 18.1"," 22.9","  82.9"," ","  73.0"," "," 0.03","G","999.9","010000"
"78526011641","2019-01-03","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  78.5","24","  68.7","24","1018.1","24","018.0","24"," 10.0","24"," 10.9","24"," 20.0","999.9","  82.9"," ","  73.0"," "," 0.01","G","999.9","010000"
"78526011641","2019-01-04","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  78.4","24","  68.9","24","1018.3","24","018.2","24"," 10.0","24","  7.7","24"," 17.1"," 22.0","  86.0"," ","  72.0"," "," 0.01","G","999.9","010000"
"78526011641","2019-01-05","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  78.0","24","  69.8","24","1018.2","24","018.0","24"," 10.0","24","  8.2","24"," 18.1"," 22.0","  86.0"," ","  72.0"," "," 0.01","G","999.9","000000"
"78526011641","2019-01-06","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  77.6","24","  69.4","24","1017.8","24","017.7","24"," 10.0","24","  7.2","24"," 15.9"," 20.0","  84.0"," ","  73.0"," "," 0.01","G","999.9","000000"
"78526011641","2019-01-07","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  77.6","24","  70.1","24","1018.0","24","017.8","24"," 10.0","24","  7.6","24"," 18.1"," 22.9","  84.0"," ","  73.0"," "," 0.00","G","999.9","000000"
"78526011641","2019-01-08","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  77.6","24","  67.3","24","1018.0","24","017.8","24"," 10.0","24","  7.9","24"," 15.0"," 21.0","  84.0"," ","  72.0"," "," 0.00","G","999.9","000000"
"78526011641","2019-01-09","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  76.7","24","  68.5","24","1016.9","24","016.7","24"," 10.0","24","  6.3","24"," 14.0","999.9","  82.9"," ","  72.0"," "," 0.02","G","999.9","010000"
"78526011641","2019-01-10","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  76.3","24","  68.9","24","1014.5","24","014.4","24"," 10.0","24","  3.3","24","  8.9","999.9","  84.0"," ","  71.1"," "," 0.00","A","999.9","000000"
